"k","f1","f1_sd","f1_max"
1,0.33195843204906,5.62011392815326e-05,0.332191494694628
2,0.331927725416894,0.000195382346375672,0.332358104154476
3,0.331674499441261,0.000719405327530584,0.332767978290366
4,0.330908016969204,0.0018680318552867,0.333305333893322
5,0.329328229162637,0.00367434883551145,0.333783100016866
6,0.326684882230073,0.00611079303247535,0.334071927731379
7,0.322783563500362,0.00919316275718724,0.334328867650823
8,0.317455771414523,0.0130008577553607,0.333786078098472
9,0.310517633358388,0.0176373720023914,0.333645735707591
10,0.301739891098723,0.0231554648718034,0.333186192283923
11,0.290841273671998,0.0294871593945455,0.332565087494665
12,0.277505970879359,0.0363997236803774,0.331237619498751
13,0.261419831620145,0.0434749381838323,0.329082754375165
14,0.242319362277305,0.0501020796967575,0.325774336283186
15,0.220049014763595,0.0554787754358814,0.321863318316879
16,0.194622753271418,0.0586151999635238,0.308051341890315
17,0.166285416584917,0.0583285969303396,0.29247044181705
18,0.135569517265296,0.0531930077621463,0.266666666666667
19,0.103344980178001,0.041441650776969,0.202423018677436
20,0.070862859524802,0,0.070862859524802
